id,dexNum,classification,findingIds,currentEvolutionFields,pokeApiRuleIds,bulbapedia,serebiiCachedSpeciesPages
alcremie-lemon-cream-ribbon,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-lemon-cream-star,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-lemon-cream-strawberry,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-matcha-cream-berry,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-matcha-cream-clover,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-matcha-cream-flower,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-matcha-cream-love,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-matcha-cream-ribbon,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-matcha-cream-star,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-matcha-cream-strawberry,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-mint-cream-berry,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-mint-cream-clover,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-mint-cream-flower,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-mint-cream-love,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-mint-cream-ribbon,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-mint-cream-star,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-mint-cream-strawberry,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-rainbow-swirl-berry,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-rainbow-swirl-clover,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-rainbow-swirl-flower,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-rainbow-swirl-love,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-rainbow-swirl-ribbon,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-rainbow-swirl-star,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-rainbow-swirl-strawberry,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-ruby-cream-berry,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-ruby-cream-clover,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-ruby-cream-flower,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-ruby-cream-love,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-ruby-cream-ribbon,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-ruby-cream-star,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-ruby-cream-strawberry,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-ruby-swirl-berry,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-ruby-swirl-clover,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-ruby-swirl-flower,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-ruby-swirl-love,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-ruby-swirl-ribbon,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-ruby-swirl-star,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-ruby-swirl-strawberry,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-salted-cream-berry,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-salted-cream-clover,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-salted-cream-flower,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-salted-cream-love,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-salted-cream-ribbon,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-salted-cream-star,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-salted-cream-strawberry,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-vanilla-cream-berry,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-vanilla-cream-clover,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-vanilla-cream-flower,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-vanilla-cream-love,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-vanilla-cream-ribbon,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie-vanilla-cream-star,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alcremie,869,has_findings,E10;E27,"{""evolvesFrom"":""milcery"",""evoFromCondition"":""spin while holding a Sweet""}",441,https://bulbapedia.bulbagarden.net/wiki/Alcremie_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sv/alcremie/;https://www.serebii.net/pokedex-swsh/alcremie/
alomomola,594,no_predecessor_species,,{},,https://bulbapedia.bulbagarden.net/wiki/Alomomola_(Pok%C3%A9mon),
altaria-mega,334,transformation_not_species_evolution,,{},173,https://bulbapedia.bulbagarden.net/wiki/Altaria_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sm/334.shtml;https://www.serebii.net/pokedex-swsh/altaria/;https://www.serebii.net/pokedex-xy/334.shtml
altaria,334,baseline_match_not_all_games_verified,,"{""evolvesFrom"":""swablu"",""evoFromLevel"":35}",173,https://bulbapedia.bulbagarden.net/wiki/Altaria_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sm/334.shtml;https://www.serebii.net/pokedex-swsh/altaria/;https://www.serebii.net/pokedex-xy/334.shtml
amaura,698,no_predecessor_species,,{},,https://bulbapedia.bulbagarden.net/wiki/Amaura_(Pok%C3%A9mon),
ambipom-f,424,has_findings,E25,"{""evolvesFrom"":""aipom"",""evoFromMove"":""doublehit""}",213,https://bulbapedia.bulbagarden.net/wiki/Ambipom_(Pok%C3%A9mon),https://www.serebii.net/pokedex-sm/424.shtml
